ID,AGE,INCOME,GENDER,MARITAL,NUMKIDS,NUMCARDS,HOWPAID,MORTGAGE,STORECAR,LOANS,RISK
100756,1,3,1,2,1,1,1,0,2,0,3
100668,1,3,1,2,1,1,1,0,1,0,3
100418,1,3,1,2,1,1,1,0,2,1,3
100416,1,3,1,2,1,1,1,0,1,1,3
100590,1,3,0,2,1,1,1,0,1,0,3
100657,1,3,1,2,1,1,1,0,1,1,3
100702,1,3,1,2,1,1,1,0,2,0,3
100319,1,3,0,2,1,1,1,0,1,1,3
100666,1,3,1,2,1,1,1,0,2,1,3
100389,1,3,1,2,1,1,1,0,2,1,3
100758,1,3,1,2,1,1,1,0,1,1,2
100695,1,3,0,2,1,1,1,0,1,0,2
100698,1,3,0,2,1,1,1,0,1,0,3
100769,1,3,1,2,1,1,1,0,1,0,3
100376,1,3,0,2,1,1,1,0,1,0,3
100414,1,3,1,2,1,1,1,0,2,0,3
100354,1,3,1,2,1,1,1,0,1,1,2
100452,1,3,1,2,1,1,1,0,2,1,3
100567,1,3,0,2,1,1,1,0,2,1,3
100728,1,3,1,2,1,1,1,0,1,1,3
100725,1,3,0,2,1,1,1,0,1,1,3
100665,1,3,0,2,1,1,1,0,1,0,3
100730,1,3,0,2,1,1,1,0,1,0,3
100766,1,3,1,2,1,1,1,0,2,1,3
100524,1,3,0,2,1,1,1,0,2,0,3
100412,1,3,1,2,1,1,1,0,2,1,2
100374,1,3,1,2,1,1,1,0,1,1,3
100566,1,3,1,2,1,1,1,0,1,0,3
100591,1,3,1,2,1,1,1,0,2,0,3
100421,1,3,1,2,1,1,1,0,1,1,2
100670,1,3,1,2,1,1,1,0,1,0,3
100379,1,3,1,2,1,1,1,0,1,1,2
100292,1,3,0,2,1,1,1,0,1,1,2
100326,1,3,1,2,1,1,1,0,2,0,3
100497,1,3,0,2,1,1,1,0,2,0,3
100568,1,3,1,2,1,1,1,0,2,1,3
100294,1,3,0,2,1,1,1,0,1,0,3
100570,1,3,1,2,1,1,1,0,1,0,3
100347,1,3,0,2,1,1,1,0,1,0,3
100425,1,3,1,2,1,1,1,0,2,1,2
100494,1,3,1,2,1,1,1,0,2,0,3
100592,1,3,0,2,1,1,1,0,1,0,2
100601,1,3,1,2,1,1,1,0,2,0,3
100700,1,3,1,2,1,1,1,0,1,0,3
100563,1,3,1,2,1,1,1,0,2,1,3
100486,1,3,1,2,1,1,1,0,1,0,3
100348,1,3,1,2,1,1,1,0,2,0,3
100672,1,3,1,2,1,1,1,0,1,1,3
100450,1,3,0,2,1,1,1,0,2,1,2
100629,1,3,1,2,1,1,1,0,1,0,3
100386,1,3,0,2,1,1,1,0,1,1,3
100757,1,3,1,2,1,1,1,0,2,1,3
100488,1,3,1,2,1,1,1,0,2,1,2
100383,1,3,0,2,1,1,1,0,2,0,3
100770,1,3,0,2,1,1,1,0,2,0,2
100795,1,3,0,2,1,1,1,0,1,0,3
100415,1,3,1,2,1,1,1,0,1,1,3
100597,1,3,1,2,1,1,1,0,2,1,3
100794,1,3,1,2,1,1,1,0,2,1,3
100755,1,3,0,2,1,1,1,0,1,1,3
100390,1,3,0,2,1,1,1,0,1,0,3
100345,1,3,0,2,1,1,1,0,1,1,3
100753,1,3,1,2,1,1,1,0,1,1,3
100492,1,3,1,2,1,1,1,0,2,0,2
100694,1,3,1,2,1,1,1,0,1,1,3
100448,1,3,1,2,1,1,1,0,2,0,3
100384,1,3,1,2,1,1,1,0,1,1,3
100630,1,3,0,2,1,1,1,0,1,0,3
100381,1,3,0,2,1,1,1,0,1,0,3
100761,1,3,1,2,1,1,1,0,1,0,3
100350,1,3,1,2,1,1,1,0,1,0,2
100352,1,3,0,2,1,1,1,0,2,1,2
100385,1,3,1,2,1,1,1,0,2,1,2
100626,1,3,1,2,1,1,1,0,2,0,3
100768,1,3,1,2,1,1,1,0,2,1,3
100295,1,3,1,2,1,1,1,0,1,0,3
100526,1,3,0,2,1,1,1,0,2,0,3
100325,1,3,0,2,1,1,1,0,1,0,2
100599,1,3,0,2,1,1,1,0,1,1,3
100603,1,3,0,2,1,1,1,0,2,0,2
100346,1,3,1,2,1,1,1,0,1,1,2
100377,1,3,0,2,1,1,1,0,1,1,3
100727,1,3,1,2,1,1,1,0,1,0,2
100671,1,3,0,2,1,1,1,0,1,1,2
100767,1,3,1,2,1,1,1,0,2,1,3
100697,1,3,1,2,1,1,1,0,1,0,3
100765,1,3,1,2,1,1,1,0,2,1,3
100797,1,3,0,2,1,1,1,0,2,0,3
100324,1,3,0,2,1,1,1,0,2,1,2
100419,1,3,1,2,1,1,1,0,2,1,3
100662,1,3,1,2,1,1,1,0,2,1,3
100754,1,3,1,2,1,1,1,0,1,1,2
100375,1,3,0,2,1,1,1,0,2,0,3
100490,1,3,1,2,1,1,1,0,1,0,3
100664,1,3,0,2,1,1,1,0,1,0,3
100621,1,3,0,2,1,1,1,0,1,0,2
100793,1,3,1,2,1,1,1,0,2,0,3
100493,1,3,0,2,1,1,1,0,1,1,3
100593,1,3,1,2,1,1,1,0,2,1,3
100500,1,3,1,2,1,1,1,0,1,0,2
100322,1,3,0,2,1,1,1,0,1,0,2
100628,1,3,0,2,1,1,1,0,2,0,2
100571,1,3,1,2,1,1,1,0,1,1,2
100529,1,3,1,2,1,1,1,0,1,0,2
100535,1,3,0,2,1,1,1,0,2,0,3
100799,1,3,0,2,1,1,1,0,1,0,3
100660,1,3,1,2,1,1,1,0,1,1,3
100731,1,3,0,2,1,1,1,0,1,0,3
100344,1,3,1,2,1,1,1,0,2,1,3
100373,1,3,1,2,1,1,1,0,1,0,3
100622,1,3,1,2,1,1,1,0,2,1,3
100594,1,3,0,2,1,1,1,0,2,0,3
100705,1,3,1,2,1,1,1,0,1,1,3
100605,1,3,1,2,1,1,1,0,1,0,3
100487,1,3,1,2,1,1,1,0,1,1,3
100604,1,3,1,2,1,1,1,0,1,0,2
100378,1,3,1,2,1,1,1,0,1,0,2
100382,1,3,0,2,1,1,1,0,2,0,3
100423,1,3,1,2,1,1,1,0,1,0,2
100532,1,3,1,2,1,1,1,0,2,0,3
100802,1,3,0,2,1,1,1,0,2,1,3
100623,1,3,1,2,1,1,1,0,1,1,2
100388,1,3,1,2,1,1,1,0,1,0,3
100693,1,3,1,2,1,1,1,0,1,0,3
100293,1,3,1,2,1,1,1,0,2,0,3
100489,1,3,1,2,1,1,1,0,2,1,3
100527,1,3,0,2,1,1,1,0,1,0,3
100411,1,3,1,2,1,1,1,0,1,0,3
100495,1,3,1,2,1,1,1,0,1,1,3
100732,1,3,0,2,1,1,1,0,2,1,3
100422,1,3,1,2,1,1,1,0,2,1,3
100661,1,3,0,2,1,1,1,0,2,1,3
100539,1,3,0,2,1,1,1,0,1,0,3
100499,1,3,0,2,1,1,1,0,1,1,3
100595,1,3,1,2,1,1,1,0,1,1,3
100798,1,3,1,2,1,1,1,0,2,1,3
100759,1,3,1,2,1,1,1,0,2,0,2
100456,1,3,1,2,1,1,1,0,1,0,3
100596,1,3,1,2,1,1,1,0,1,1,3
100706,1,3,0,2,1,1,1,0,2,1,3
100323,1,3,1,2,1,1,1,0,2,1,3
100451,1,3,0,2,1,1,1,0,1,1,3
100565,1,3,1,2,1,1,1,0,1,1,3
100491,1,3,0,2,1,1,1,0,2,1,2
100458,1,3,1,2,1,1,1,0,2,0,3
100701,1,3,0,2,1,1,1,0,1,1,3
