ID,AGE,INCOME,GENDER,MARITAL,NUMKIDS,NUMCARDS,HOWPAID,MORTGAGE,STORECAR,LOANS,RISK
100756,2,3,1,2,1,1,1,0,2,0,good risk
100668,2,3,1,2,1,1,1,0,1,0,bad loss
100418,1,3,1,2,1,1,1,0,2,1,good risk
100416,1,3,1,2,1,1,1,0,1,1,bad loss
100590,2,3,0,2,1,1,1,0,1,0,good risk
100657,2,3,1,2,1,1,1,0,1,1,good risk
100702,2,3,1,2,1,1,1,0,2,0,good risk
100319,1,3,0,2,1,1,1,0,1,1,good risk
100666,1,3,1,2,1,1,1,0,2,1,bad loss
100389,1,3,1,2,1,1,1,0,2,1,good risk
100758,2,3,1,2,1,1,1,0,1,1,bad profit
100695,2,3,0,2,1,1,1,0,1,0,bad profit
100698,2,3,0,2,1,1,1,0,1,0,good risk
100769,2,3,1,2,1,1,1,0,1,0,bad loss
100376,1,3,0,2,1,1,1,0,1,0,good risk
100796,2,3,1,2,1,1,1,0,1,0,good risk
100414,1,3,1,2,1,1,1,0,2,0,good risk
100354,1,3,1,2,1,1,1,0,1,1,bad profit
100452,2,3,1,2,1,1,1,0,2,1,good risk
100567,2,3,0,2,1,1,1,0,2,1,bad loss
100728,1,3,1,2,1,1,1,0,1,1,bad loss
100725,2,3,0,2,1,1,1,0,1,1,good risk
100665,2,3,0,2,1,1,1,0,1,0,bad loss
100730,2,3,0,2,1,1,1,0,1,0,bad loss
100766,2,3,1,2,1,1,1,0,2,1,good risk
100524,2,3,0,2,1,1,1,0,2,0,good risk
100412,1,3,1,2,1,1,1,0,2,1,bad profit
100374,1,3,1,2,1,1,1,0,1,1,good risk
100566,2,3,1,2,1,1,1,0,1,0,bad loss
100591,2,3,1,2,1,1,1,0,2,0,good risk
100421,1,3,1,2,1,1,1,0,1,1,bad profit
100670,2,3,1,2,1,1,1,0,1,0,bad loss
100379,1,3,1,2,1,1,1,0,1,1,bad profit
100292,1,3,0,2,1,1,1,0,1,1,bad profit
100326,1,3,1,2,1,1,1,0,2,0,good risk
100497,2,3,0,2,1,1,1,0,2,0,bad loss
100568,2,3,1,2,1,1,1,0,2,1,good risk
100294,1,3,0,2,1,1,1,0,1,0,good risk
100570,2,3,1,2,1,1,1,0,1,0,good risk
100347,2,3,0,2,1,1,1,0,1,0,good risk
100425,1,3,1,2,1,1,1,0,2,1,bad profit
100494,2,3,1,2,1,1,1,0,2,0,good risk
100592,2,3,0,2,1,1,1,0,1,0,bad profit
100601,2,3,1,2,1,1,1,0,2,0,good risk
100700,2,3,1,2,1,1,1,0,1,0,good risk
100563,2,3,1,2,1,1,1,0,2,1,good risk
100486,2,3,1,2,1,1,1,0,1,0,good risk
100348,1,3,1,2,1,1,1,0,2,0,good risk
100672,2,3,1,2,1,1,1,0,1,1,good risk
100450,2,3,0,2,1,1,1,0,2,1,bad profit
100629,1,3,1,2,1,1,1,0,1,0,good risk
100386,1,3,0,2,1,1,1,0,1,1,good risk
100757,2,3,1,2,1,1,1,0,2,1,good risk
100488,2,3,1,2,1,1,1,0,2,1,bad profit
100383,1,3,0,2,1,1,1,0,2,0,good risk
100770,2,3,0,2,1,1,1,0,2,0,bad profit
100795,2,3,0,2,1,1,1,0,1,0,good risk
100415,1,3,1,2,1,1,1,0,1,1,good risk
100597,2,3,1,2,1,1,1,0,2,1,good risk
100794,2,3,1,2,1,1,1,0,2,1,good risk
100755,2,3,0,2,1,1,1,0,1,1,good risk
100390,1,3,0,2,1,1,1,0,1,0,good risk
100345,1,3,0,2,1,1,1,0,1,1,good risk
100753,2,3,1,2,1,1,1,0,1,1,bad loss
100492,2,3,1,2,1,1,1,0,2,0,bad profit
100694,2,3,1,2,1,1,1,0,1,1,bad loss
100448,2,3,1,2,1,1,1,0,2,0,good risk
100384,1,3,1,2,1,1,1,0,1,1,good risk
100630,2,3,0,2,1,1,1,0,1,0,good risk
100381,1,3,0,2,1,1,1,0,1,0,bad loss
100761,2,3,1,2,1,1,1,0,1,0,good risk
100350,1,3,1,2,1,1,1,0,1,0,bad profit
100352,1,3,0,2,1,1,1,0,2,1,bad profit
100385,1,3,1,2,1,1,1,0,2,1,bad profit
100626,2,3,1,2,1,1,1,0,2,0,good risk
100768,2,3,1,2,1,1,1,0,2,1,good risk
100295,1,3,1,2,1,1,1,0,1,0,good risk
100526,2,3,0,2,1,1,1,0,2,0,good risk
100325,1,3,0,2,1,1,1,0,1,0,bad profit
100599,2,3,0,2,1,1,1,0,1,1,good risk
100603,2,3,0,2,1,1,1,0,2,0,bad profit
100346,1,3,1,2,1,1,1,0,1,1,bad profit
100377,1,3,0,2,1,1,1,0,1,1,good risk
100727,2,3,1,2,1,1,1,0,1,0,bad profit
100671,2,3,0,2,1,1,1,0,1,1,bad profit
100767,2,3,1,2,1,1,1,0,2,1,bad loss
100697,1,3,1,2,1,1,1,0,1,0,good risk
100765,2,3,1,2,1,1,1,0,2,1,bad loss
100797,2,3,0,2,1,1,1,0,2,0,good risk
100324,1,3,0,2,1,1,1,0,2,1,bad profit
100419,1,3,1,2,1,1,1,0,2,1,good risk
100662,2,3,1,2,1,1,1,0,2,1,good risk
100754,2,3,1,2,1,1,1,0,1,1,bad profit
100375,1,3,0,2,1,1,1,0,2,0,bad loss
100490,2,3,1,2,1,1,1,0,1,0,good risk
100664,1,3,0,2,1,1,1,0,1,0,good risk
100621,2,3,0,2,1,1,1,0,1,0,bad profit
100793,2,3,1,2,1,1,1,0,2,0,good risk
100493,2,3,0,2,1,1,1,0,1,1,good risk
100593,2,3,1,2,1,1,1,0,2,1,bad loss
100500,2,3,1,2,1,1,1,0,1,0,bad profit
100322,1,3,0,2,1,1,1,0,1,0,bad profit
100628,2,3,0,2,1,1,1,0,2,0,bad profit
100571,2,3,1,2,1,1,1,0,1,1,bad profit
100529,2,3,1,2,1,1,1,0,1,0,bad profit
100535,2,3,0,2,1,1,1,0,2,0,good risk
100799,2,3,0,2,1,1,1,0,1,0,good risk
100660,2,3,1,2,1,1,1,0,1,1,good risk
100731,2,3,0,2,1,1,1,0,1,0,good risk
100344,1,3,1,2,1,1,1,0,2,1,bad loss
100373,1,3,1,2,1,1,1,0,1,0,good risk
100622,2,3,1,2,1,1,1,0,2,1,good risk
100594,2,3,0,2,1,1,1,0,2,0,good risk
100705,2,3,1,2,1,1,1,0,1,1,good risk
100605,2,3,1,2,1,1,1,0,1,0,good risk
100487,2,3,1,2,1,1,1,0,1,1,good risk
100604,2,3,1,2,1,1,1,0,1,0,bad profit
100378,1,3,1,2,1,1,1,0,1,0,bad profit
100382,1,3,0,2,1,1,1,0,2,0,good risk
100423,1,3,1,2,1,1,1,0,1,0,bad profit
100532,2,3,1,2,1,1,1,0,2,0,bad loss
100802,2,3,0,2,1,1,1,0,2,1,good risk
100623,1,3,1,2,1,1,1,0,1,1,bad profit
100388,1,3,1,2,1,1,1,0,1,0,good risk
100693,2,3,1,2,1,1,1,0,1,0,good risk
100293,1,3,1,2,1,1,1,0,2,0,bad loss
100489,2,3,1,2,1,1,1,0,2,1,good risk
100527,2,3,0,2,1,1,1,0,1,0,good risk
100411,1,3,1,2,1,1,1,0,1,0,bad loss
100495,2,3,1,2,1,1,1,0,1,1,good risk
100732,2,3,0,2,1,1,1,0,2,1,bad loss
100422,1,3,1,2,1,1,1,0,2,1,good risk
100661,2,3,0,2,1,1,1,0,2,1,good risk
100539,2,3,0,2,1,1,1,0,1,0,good risk
100499,2,3,0,2,1,1,1,0,1,1,bad loss
100595,2,3,1,2,1,1,1,0,1,1,good risk
100798,1,3,1,2,1,1,1,0,2,1,good risk
100759,2,3,1,2,1,1,1,0,2,0,bad profit
100456,2,3,1,2,1,1,1,0,1,0,good risk
100596,2,3,1,2,1,1,1,0,1,1,good risk
100706,2,3,0,2,1,1,1,0,2,1,good risk
100323,1,3,1,2,1,1,1,0,2,1,good risk
